date,close
2016-09-23,15.66
2016-09-26,16.5
2016-09-27,18.21
2016-09-28,19.3
2016-09-29,17.54
2016-09-30,16.47
2016-10-03,17.86
2016-10-04,17.52
2016-10-05,16.66
2016-10-06,16.08
2016-10-07,15.81
2016-10-10,15.25
2016-10-11,15.1
2016-10-12,14.48
2016-10-13,14.01
2016-10-14,13.96
2016-10-17,14.43
2016-10-18,15.19
2016-10-19,14.75
2016-10-20,14.96
2016-10-21,15.68
2016-10-24,15.18
2016-10-25,15.74
2016-10-26,15.75
2016-10-27,14.91
2016-10-28,14.56
2016-10-31,13.62
2016-11-01,12.81
2016-11-02,12.05
2016-11-03,12.08
2016-11-04,11.86
2016-11-07,11.51
2016-11-08,10.52
2016-11-09,13.29
2016-11-10,14.15
2016-11-11,15.11
2016-11-14,14.7
2016-11-15,15.36
2016-11-16,15.57
2016-11-17,16.11
2016-11-18,15.3
2016-11-21,14.08
2016-11-22,13.7
2016-11-23,11.53
2016-11-25,12.61
2016-11-28,12.13
2016-11-29,11.86
2016-11-30,11.59
2016-12-01,11.58
2016-12-02,11.5
2016-12-05,11.93
2016-12-06,11.99
2016-12-07,11.65
2016-12-08,12.05
2016-12-09,14.93
2016-12-12,12.87
2016-12-13,13.36
2016-12-14,13.61
2016-12-15,13.55
2016-12-16,14.32
2016-12-19,14.53
2016-12-20,14.33
2016-12-21,12.85
2016-12-22,12.56
2016-12-23,13.23
2016-12-27,13.52
2016-12-28,12.7
2016-12-29,12.54
2016-12-30,12.98
2017-01-03,13.01
2017-01-04,13.65
2017-01-05,13.53
2017-01-06,13.66
2017-01-09,13.34
2017-01-10,13.29
2017-01-11,13.42
2017-01-12,13.05
2017-01-13,13.5
2017-01-17,13.2
2017-01-18,12.98
2017-01-19,12.65
2017-01-20,12.6
2017-01-23,12.4
2017-01-24,12.05
2017-01-25,12.15
2017-01-26,12.25
2017-01-27,12.12
2017-01-30,11.76
2017-01-31,12.02
2017-02-01,11.98
2017-02-02,12.09
2017-02-03,12.14
2017-02-06,12.0
2017-02-07,12.01
2017-02-08,12.18
2017-02-09,11.63
2017-02-10,12.01
2017-02-13,12.19
2017-02-14,12.94
2017-02-15,12.67
2017-02-16,12.72
2017-02-17,12.71
2017-02-21,12.69
2017-02-22,12.3
2017-02-23,12.32
2017-02-24,11.85
2017-02-27,12.26
2017-02-28,12.44
2017-03-01,12.56
2017-03-02,12.65
2017-03-03,12.96
2017-03-06,12.5
2017-03-07,11.5
2017-03-08,11.63
2017-03-09,12.02
2017-03-10,11.81
2017-03-13,12.2
2017-03-14,11.61
2017-03-15,12.27
2017-03-16,12.35
2017-03-17,12.07
2017-03-20,11.55
2017-03-21,11.55
2017-03-22,11.47
2017-03-23,11.04
2017-03-24,11.02
2017-03-27,11.13
2017-03-28,11.62
2017-03-29,11.58
2017-03-30,11.57
2017-03-31,10.36
2017-04-03,10.17
2017-04-04,9.51
2017-04-05,9.67
2017-04-06,9.94
2017-04-07,10.08
2017-04-10,10.15
2017-04-11,10.16
2017-04-12,10.04
2017-04-13,10.1
2017-04-17,10.01
2017-04-18,10.01
2017-04-19,9.98
2017-04-20,9.86
2017-04-21,9.66
2017-04-24,9.6
2017-04-25,9.61
2017-04-26,9.57
2017-04-27,9.55
2017-04-28,9.55
2017-05-01,8.93
2017-05-02,9.29
2017-05-03,9.0
2017-05-04,9.1
2017-05-05,9.0
2017-05-08,9.12
2017-05-09,9.02
2017-05-10,9.06
2017-05-11,8.95
2017-05-12,9.1
2017-05-15,9.01
2017-05-16,8.64
2017-05-17,8.74
2017-05-18,8.8
2017-05-19,8.88
2017-05-22,9.06
2017-05-23,8.91
2017-05-24,8.96
2017-05-25,8.91
2017-05-26,8.91
2017-05-30,8.9
2017-05-31,8.9
2017-06-01,8.82
2017-06-02,8.84
2017-06-05,9.45
2017-06-06,9.03
2017-06-07,9.29
2017-06-08,9.33
2017-06-09,9.2
2017-06-12,8.92
2017-06-13,8.99
2017-06-14,8.9
2017-06-15,8.83
2017-06-16,8.51
2017-06-19,8.865
2017-06-20,8.96
2017-06-21,9.14
2017-06-22,9.12
2017-06-23,9.39
2017-06-26,9.24
2017-06-27,9.34
2017-06-28,9.04
2017-06-29,8.9
2017-06-30,8.8
2017-07-03,8.905
2017-07-05,8.8
2017-07-06,8.8
2017-07-07,8.59
2017-07-10,8.3
2017-07-11,8.24
2017-07-12,8.36
2017-07-13,8.5
2017-07-14,8.61
2017-07-17,8.49
2017-07-18,8.24
2017-07-19,8.12
2017-07-20,8.02
2017-07-21,8.08
2017-07-24,8.11
2017-07-25,8.09
2017-07-26,8.15
2017-07-27,8.01
2017-07-28,7.73
2017-07-31,7.33
2017-08-01,6.97
2017-08-02,7.23
2017-08-03,6.7
2017-08-04,6.7
2017-08-07,7.4
2017-08-08,7.61
2017-08-09,7.75
2017-08-10,7.31
2017-08-11,7.12
2017-08-14,7.29
2017-08-15,7.19
2017-08-16,7.43
2017-08-17,7.36
2017-08-18,7.68
2017-08-21,7.8
2017-08-22,8.25
2017-08-23,8.0
2017-08-24,7.9
2017-08-25,7.42
2017-08-28,7.4
2017-08-29,7.06
2017-08-30,7.63
2017-08-31,7.84
2017-09-01,8.18
2017-09-05,8.455
2017-09-06,9.03
2017-09-07,9.55
2017-09-08,9.42
2017-09-11,9.77
2017-09-12,9.78
2017-09-13,9.87
2017-09-14,10.75
2017-09-15,10.93
2017-09-18,11.2
2017-09-19,10.92
2017-09-20,10.57
2017-09-21,10.25
2017-09-22,10.24
2017-09-25,10.3
2017-09-26,10.39
2017-09-27,10.9
2017-09-28,10.78
2017-09-29,11.17
2017-10-02,11.26
2017-10-03,11.49
2017-10-04,11.22
2017-10-05,11.3
2017-10-06,11.26
2017-10-09,11.57
2017-10-10,12.0
2017-10-11,11.98
2017-10-12,11.75
2017-10-13,11.61
2017-10-16,11.8
2017-10-17,11.6
2017-10-18,11.58
2017-10-19,11.75
2017-10-20,11.87
2017-10-23,11.56
2017-10-24,11.43
2017-10-25,11.51
2017-10-26,11.33
2017-10-27,11.65
2017-10-30,11.71
2017-10-31,11.76
2017-11-01,11.95
2017-11-02,12.52
2017-11-03,11.32
2017-11-06,11.81
2017-11-07,11.96
2017-11-08,11.99
2017-11-09,11.75
2017-11-10,11.6
2017-11-13,11.45
2017-11-14,10.82
2017-11-15,10.75
2017-11-16,10.98
2017-11-17,10.61
2017-11-20,10.37
2017-11-21,11.73
2017-11-22,11.37
2017-11-24,11.48
2017-11-27,11.31
2017-11-28,11.7
2017-11-29,11.72
2017-11-30,11.69
2017-12-01,11.85
2017-12-04,11.75
2017-12-05,11.92
2017-12-06,12.03
2017-12-07,12.0
2017-12-08,12.27
2017-12-11,12.0
2017-12-12,12.36
2017-12-13,12.17
2017-12-14,12.3
2017-12-15,12.63
2017-12-18,12.85
2017-12-19,12.0
2017-12-20,12.19
2017-12-21,12.02
2017-12-22,12.75
