date,close
2009-07-01,38.5
2009-07-02,38.4
2009-07-06,38.0
2009-07-07,37.4
2009-07-08,37.5
2009-07-09,37.5
2009-07-10,37.7
2009-07-13,37.5
2009-07-14,38.8
2009-07-15,39.85
2009-07-16,39.55
2009-07-17,38.9
2009-07-20,39.55
2009-07-21,38.75
2009-07-22,39.55
2009-07-23,39.9
2009-07-24,39.9
2009-07-27,39.6
2009-07-28,39.87
2009-07-29,39.35
2009-07-30,39.8
2009-07-31,40.15
2009-08-03,39.79
2009-08-04,39.25
2009-08-05,39.4
2009-08-06,39.4
2009-08-07,39.45
2009-08-10,40.15
2009-08-11,40.4
2009-08-12,41.05
2009-08-13,39.15
2009-08-14,38.7
2009-08-17,39.15
2009-08-18,40.15
2009-08-19,40.69
2009-08-20,40.6
2009-08-21,42.05
2009-08-24,41.9
2009-08-25,42.6
2009-08-26,42.5
2009-08-27,42.37
2009-08-28,42.7
2009-08-31,43.4
2009-09-01,41.5
2009-09-02,41.75
2009-09-03,41.55
2009-09-04,42.1
2009-09-08,43.5
2009-09-09,44.45
2009-09-10,45.0
2009-09-11,45.45
2009-09-14,46.17
2009-09-15,46.25
2009-09-16,46.95
2009-09-17,46.55
2009-09-18,47.0
2009-09-21,47.7
2009-09-22,46.85
2009-09-23,45.9
2009-09-24,45.62
2009-09-25,44.92
2009-09-28,45.43
2009-09-29,45.28
2009-09-30,45.94
2009-10-01,45.07
2009-10-02,44.0
2009-10-05,45.4
2009-10-06,46.66
2009-10-07,46.72
2009-10-08,48.19
2009-10-09,47.59
2009-10-12,47.9
2009-10-13,47.55
2009-10-14,49.55
2009-10-15,49.81
2009-10-16,50.189
2009-10-19,51.19
2009-10-20,50.15
2009-10-21,50.76
2009-10-22,52.3
2009-10-23,50.55
2009-10-26,49.49
2009-10-27,48.4
2009-10-28,47.49
2009-10-29,48.89
2009-10-30,47.18
2009-11-02,48.31
2009-11-03,47.11
2009-11-04,47.38
2009-11-05,48.59
2009-11-06,48.37
2009-11-09,49.72
2009-11-10,48.32
2009-11-11,48.64
2009-11-12,48.27
2009-11-13,50.27
2009-11-16,51.65
2009-11-17,51.09
2009-11-18,51.39
2009-11-19,50.6
2009-11-20,50.67
2009-11-23,51.32
2009-11-24,51.32
2009-11-25,52.44
2009-11-27,51.18
2009-11-30,50.29
2009-12-01,52.25
2009-12-02,53.24
2009-12-03,52.64
2009-12-04,52.64
2009-12-07,52.5
2009-12-08,51.16
2009-12-09,51.37
2009-12-10,51.69
2009-12-11,52.32
2009-12-14,52.99
2009-12-15,52.45
2009-12-16,52.6
2009-12-17,51.43
